user_id,followers,friends,friend_requests,posts,account_age_days,profile_complete,verified,fraud
1,964,1184,946,493,929,0,1,1
2,1598,1384,38,207,1563,1,0,0
3,997,898,103,259,1984,0,1,0
4,1909,897,654,390,1494,0,0,1
5,259,896,419,185,1387,0,0,0
6,471,898,492,145,485,0,0,0
7,1793,1480,765,18,1523,1,1,0
8,1805,262,324,263,403,1,1,0
9,53,1077,444,392,1761,1,0,0
10,863,973,201,410,1977,0,1,0
11,1700,1181,640,5,1045,0,0,1
12,235,566,156,33,176,1,1,0
13,1300,1428,327,424,1000,1,1,0
14,1592,1177,910,122,1471,1,1,0
15,925,706,290,357,301,1,0,0
16,400,1227,706,127,477,1,1,0
17,1231,32,650,101,504,0,1,0
18,695,148,643,458,118,0,0,1
19,1935,1412,873,313,237,0,0,1
20,635,1140,837,116,1099,0,0,1
21,1109,577,199,220,1782,1,0,0
22,1437,1476,577,487,1264,0,1,1
23,323,1471,973,106,715,0,1,1
24,1037,1192,496,273,167,1,1,0
25,517,762,854,355,1361,0,1,0
26,1686,1404,341,324,406,0,0,1
27,1512,173,776,458,673,0,1,1
28,1,396,444,270,474,0,1,0
29,193,1420,884,351,1861,0,0,1
30,1687,1063,504,422,1542,0,0,1
31,1871,74,860,335,357,1,1,0
32,266,728,523,331,1041,0,1,0
33,1816,1394,189,58,1508,1,0,0
34,667,544,187,295,1107,0,0,0
35,212,1000,339,240,1375,1,0,0
36,1617,1076,208,225,861,1,1,0
37,1778,1233,318,355,616,0,1,0
38,1142,931,750,70,1011,0,1,0
39,1684,805,715,147,989,0,1,0
40,1050,1483,131,225,585,0,1,0
41,139,807,381,191,1159,1,1,0
42,1993,93,863,101,1592,0,1,0
43,1081,1097,299,473,1875,0,1,1
44,564,1157,630,299,983,0,1,1
45,1048,1308,305,64,1448,1,0,0
46,1816,483,545,13,1196,0,1,0
47,375,1294,519,318,1378,0,1,1
48,945,550,621,444,1601,0,1,1
49,822,609,535,421,1522,1,1,0
50,997,217,217,257,402,0,1,0
51,1853,170,607,61,425,0,1,0
52,1764,1453,913,39,176,1,0,1
53,1131,948,218,139,814,0,1,0
54,1480,818,375,168,1359,1,0,0
55,382,414,597,108,1210,1,1,0
56,242,1467,989,207,1469,1,0,1
57,1962,1458,870,26,1780,0,0,1
58,1587,1266,2,355,1870,1,1,0
59,388,147,601,370,639,1,0,0
60,1097,911,258,385,1237,1,0,0
61,1228,561,178,437,1502,0,0,1
62,1028,762,920,471,504,1,1,0
63,1979,1273,821,185,449,1,1,0
64,1581,98,748,484,1704,0,0,1
65,1034,1076,595,289,382,0,0,1
66,784,315,234,361,680,0,0,0
67,234,1318,234,419,306,1,1,0
68,1052,139,874,293,207,1,0,0
69,530,1143,316,191,905,0,1,0
70,378,228,959,473,1,1,0,1
71,1004,750,803,276,200,1,1,0
72,516,1287,900,380,271,1,0,1
73,96,356,480,305,1095,0,0,0
74,1572,1489,806,342,1938,0,0,1
75,967,1189,88,271,827,0,1,0
76,1212,450,705,236,525,0,1,0
77,1779,714,614,174,236,0,0,1
78,379,353,510,441,1055,0,0,1
79,1963,1121,548,271,763,0,1,1
80,1102,830,2,265,1936,0,1,0
81,1230,1463,545,300,101,1,0,1
82,753,861,180,225,1417,0,0,0
83,1370,772,86,454,654,1,1,0
84,1592,1074,184,238,704,0,1,0
85,915,369,733,436,80,0,0,1
86,1647,679,381,37,552,1,0,0
87,1762,1339,711,94,995,0,0,1
88,689,408,165,209,897,0,1,0
89,820,141,114,377,1047,0,1,0
90,166,559,82,19,327,1,0,0
91,408,224,624,160,1897,0,0,1
92,512,1489,502,8,1215,0,0,1
93,1126,200,791,258,622,1,1,0
94,1517,1139,213,120,561,0,0,1
95,1523,508,886,327,1054,0,0,1
96,1679,863,695,438,202,1,0,1
97,228,293,84,14,1768,0,1,0
98,973,519,797,390,1314,0,0,1
99,361,59,743,28,1300,1,1,0
100,855,904,961,329,1187,1,1,0
101,1113,1100,108,354,1107,0,1,0
102,501,1071,174,87,1791,0,0,1
103,264,1472,659,435,1303,1,0,1
104,1238,616,327,6,1960,0,1,0
105,361,128,997,370,378,0,0,1
106,544,742,155,129,1211,1,0,0
107,1795,795,254,437,1960,0,1,0
108,1507,1267,641,132,83,0,0,1
109,1539,147,658,406,1704,0,0,1
110,756,1036,907,217,613,1,1,0
111,329,228,361,383,493,1,0,0
112,458,156,937,399,1483,0,1,0
113,1927,303,453,245,1216,1,0,0
114,829,372,306,396,1533,1,1,0
115,1786,326,902,43,64,0,0,1
116,827,225,339,91,260,1,0,0
117,1644,478,938,488,1428,1,1,0
118,1766,1046,353,403,1095,0,1,1
119,1496,326,896,168,1513,0,1,0
120,1414,1322,191,257,234,0,0,1
121,469,1193,321,130,1692,0,1,0
122,61,1324,848,475,1453,1,1,1
123,418,66,871,367,1895,1,1,0
124,551,346,232,440,1415,1,0,0
125,162,30,401,124,472,0,1,0
126,792,1066,987,11,1883,0,0,1
127,735,725,407,384,1788,0,0,0
128,342,1157,436,468,1736,1,1,0
129,375,1302,956,487,1420,0,0,1
130,1630,481,907,253,1070,1,1,0
131,687,971,434,82,1155,1,0,0
132,721,164,894,488,743,1,1,0
133,1011,946,729,200,1509,1,1,0
134,1591,547,647,326,1282,1,0,0
135,1827,1229,139,333,661,0,1,0
136,265,1069,633,479,93,0,1,1
137,344,105,495,380,780,0,1,0
138,987,191,819,414,81,1,1,0
139,945,1212,960,47,1593,1,0,1
140,156,317,538,55,1438,1,1,0
141,1960,161,989,499,440,0,0,1
142,345,224,416,152,569,0,0,0
143,397,109,939,186,1758,0,0,1
144,1221,645,987,282,737,0,1,0
145,298,305,359,412,1588,1,1,0
146,893,9,915,277,1183,0,1,0
147,387,986,499,466,388,0,0,1
148,1058,1035,719,111,1187,0,0,1
149,1223,1483,823,448,382,0,0,1
150,1987,746,673,106,1550,1,1,0
151,1112,427,856,142,1379,0,0,1
152,260,506,681,151,605,0,1,0
153,859,232,704,127,393,1,1,0
154,1427,1338,937,382,723,0,1,1
155,1658,457,595,31,859,1,1,0
156,1459,731,236,465,1214,0,0,1
157,731,742,917,352,691,1,0,0
158,610,208,375,428,662,1,0,0
159,927,1038,17,91,465,1,0,0
160,1122,389,569,70,509,0,1,0
161,771,1474,160,166,86,0,1,0
162,1981,289,546,246,363,1,1,0
163,156,379,601,22,1719,1,1,0
164,937,45,710,268,1571,0,0,1
165,1967,492,18,31,1901,0,0,0
166,376,478,402,183,1644,0,1,0
167,1235,1403,937,293,1497,1,0,1
168,560,660,353,397,394,0,0,0
169,555,768,561,411,1643,0,0,1
170,36,863,890,17,488,1,0,0
171,834,981,802,268,1591,0,1,0
172,1690,1323,643,162,730,0,0,1
173,1977,267,966,197,446,1,0,0
174,1648,967,171,441,114,1,1,0
175,190,779,1000,15,584,1,1,0
176,1182,351,973,421,1211,0,1,1
177,1169,1377,486,483,1101,1,1,0
178,1178,185,677,347,1801,0,1,0
179,1049,498,418,359,747,0,1,0
180,813,1466,346,218,2000,1,0,0
181,701,621,106,149,195,0,0,0
182,59,1350,730,84,1063,1,1,0
183,1478,490,765,297,327,0,1,0
184,269,380,321,62,1613,1,0,0
185,277,1433,980,363,1380,0,1,1
186,1605,1053,822,120,235,0,1,1
187,229,630,613,286,51,0,1,0
188,1345,301,618,124,1591,1,0,0
189,587,1061,345,126,111,0,0,1
190,847,1301,938,415,1402,1,1,1
191,1576,474,521,206,957,1,1,0
192,273,1118,970,279,407,1,0,1
193,1207,861,49,90,1651,0,0,0
194,1494,1410,994,34,667,1,1,0
195,581,1478,923,204,1323,1,0,1
196,176,28,930,390,585,1,1,0
197,631,48,727,439,304,1,0,1
198,1957,794,402,101,1514,0,0,0
199,1532,1244,339,132,1835,0,0,1
200,1767,1318,504,164,429,1,1,0
201,998,689,126,158,1524,0,1,0
202,1023,1369,751,97,697,0,1,1
203,1310,411,824,84,458,0,0,1
204,338,678,185,162,1460,0,1,0
205,1319,527,709,304,1643,0,1,0
206,1778,890,180,375,595,1,1,0
207,787,1447,324,112,1768,0,1,0
208,546,1351,568,328,1902,1,1,0
209,1608,1073,465,396,1824,0,1,0
210,1589,49,694,251,525,1,1,0
211,803,607,424,487,798,0,0,1
212,1963,1281,394,4,1349,0,0,1
213,324,1019,360,388,651,1,0,0
214,529,1414,218,42,139,1,0,0
215,1809,904,992,373,987,1,1,0
216,1924,123,882,159,1827,1,0,0
217,1543,342,488,401,135,1,1,0
218,1918,539,365,171,851,0,0,0
219,1592,1425,755,293,64,0,1,1
220,804,1135,370,285,1625,1,0,0
221,1663,95,13,153,789,1,0,0
222,665,1450,829,195,126,0,1,1
223,637,258,268,25,680,1,1,0
224,300,955,182,297,1328,0,0,0
225,1296,618,974,263,757,1,0,0
226,549,197,338,428,1723,0,0,1
227,1807,238,158,288,579,0,0,0
228,1002,1352,665,44,1146,0,1,1
229,1921,317,839,371,1028,1,1,0
230,301,1425,844,175,365,1,1,0
231,420,709,901,377,85,0,1,0
232,1699,694,75,127,1814,0,1,0
233,322,609,404,250,531,0,1,0
234,790,441,830,276,309,1,0,0
235,1682,1388,78,131,1458,0,0,1
236,1141,372,521,199,438,1,1,0
237,595,811,212,190,987,0,1,0
238,646,1030,28,303,1259,0,1,0
239,696,1241,439,29,877,1,1,0
240,861,270,22,486,161,1,1,0
241,914,979,989,184,1241,1,1,0
242,1848,901,954,355,1715,1,1,0
243,129,29,192,295,435,0,0,0
244,1281,509,999,72,614,1,0,0
245,1133,538,447,377,649,0,0,0
246,76,404,430,225,299,0,1,0
247,562,415,648,1,1084,1,1,0
248,1123,500,536,297,432,0,1,0
249,1185,1348,716,380,339,0,1,1
250,1514,1251,569,201,897,1,1,0
251,369,1064,428,472,1924,0,1,1
252,1055,693,129,402,1103,0,1,0
253,1931,1057,904,257,1826,1,1,0
254,1351,76,994,238,1742,1,1,0
255,974,406,710,261,1923,1,1,0
256,249,783,645,301,1910,1,1,0
257,721,491,943,417,1360,1,0,1
258,394,572,393,68,456,1,1,0
259,1886,743,712,198,1502,0,1,0
260,1587,892,331,111,1406,1,1,0
261,360,1454,340,448,343,0,1,1
262,1417,1310,567,62,603,0,0,1
263,1006,943,448,45,283,0,0,0
264,262,573,522,12,8,1,1,0
265,604,768,803,7,1283,0,0,1
266,355,1493,210,478,1109,0,0,1
267,1107,444,966,238,1550,0,0,1
268,1824,445,265,331,1198,0,0,0
269,1074,1336,954,331,108,1,0,1
270,253,61,268,147,1444,1,1,0
271,1218,943,675,383,417,0,1,0
272,1455,637,668,52,1206,0,0,1
273,1234,230,802,285,613,1,0,0
274,106,550,130,166,314,1,1,0
275,93,312,622,241,1641,1,0,0
276,1387,830,292,469,1119,0,0,1
277,314,828,10,222,126,1,0,0
278,436,797,474,100,431,1,1,0
279,677,493,603,81,1203,1,1,0
280,478,843,938,72,1552,0,0,1
281,1820,512,907,191,28,0,1,1
282,203,198,198,226,1166,0,1,0
283,928,620,527,240,529,0,0,1
284,902,196,918,402,1362,0,1,1
285,1523,798,128,457,88,1,1,0
286,171,279,591,240,1887,0,1,0
287,1049,287,846,0,866,1,1,0
288,1876,930,751,10,1826,0,1,0
289,1667,767,709,487,1573,1,1,0
290,982,619,543,483,1299,1,0,1
291,855,415,852,467,458,0,0,1
292,1226,1020,367,424,1814,0,0,1
293,943,437,829,395,1783,0,0,1
294,652,1307,546,345,1098,0,0,1
295,53,507,516,22,1295,0,1,0
296,1577,520,944,185,425,0,0,1
297,1337,668,583,49,707,0,0,1
298,1348,1201,58,327,1002,0,1,0
299,367,867,709,391,168,1,0,0
300,1045,258,871,169,1706,0,1,0
301,1005,547,701,273,385,1,1,0
302,60,434,493,47,1949,0,0,0
303,873,363,712,410,480,1,0,1
304,1010,598,744,103,1780,0,1,0
305,953,1,447,89,54,1,1,0
306,186,24,953,382,11,1,0,1
307,1249,655,995,406,1884,0,0,1
308,1406,90,219,215,177,0,1,0
309,1205,1495,364,112,1642,0,1,0
310,319,1144,291,157,1546,0,1,0
311,1424,405,389,429,970,1,0,0
312,1238,1014,342,154,1278,1,0,0
313,779,950,191,469,1781,0,1,0
314,1567,45,507,293,1349,0,1,0
315,1593,557,649,475,671,0,0,1
316,344,792,977,63,119,1,0,0
317,1257,17,650,251,1626,0,1,0
318,604,1146,30,286,1417,0,1,0
319,505,41,760,456,31,0,1,1
320,1360,1124,202,393,1245,0,0,1
321,1183,221,704,83,1314,1,1,0
322,446,344,509,428,333,0,1,1
323,401,630,457,144,1146,0,0,0
324,335,455,799,205,792,0,1,0
325,942,934,195,352,878,1,0,0
326,1595,139,191,15,1893,0,0,0
327,1347,314,111,438,107,1,1,0
328,263,424,881,36,1613,0,1,0
329,45,1188,382,442,856,1,1,0
330,1138,543,428,481,1287,0,1,0
331,738,1005,31,276,821,1,1,0
332,608,339,586,91,1838,0,1,0
333,893,1402,704,78,1069,1,1,0
334,356,629,289,273,998,1,1,0
335,1930,1488,428,456,1047,1,1,0
336,1891,317,631,34,414,1,0,0
337,971,1043,512,186,1034,0,0,1
338,1213,108,483,183,692,0,0,0
339,1420,16,768,46,913,0,0,1
340,500,1117,585,372,212,0,0,1
341,868,559,725,371,1475,1,1,0
342,1540,740,226,277,1273,0,0,0
343,1824,592,859,439,1042,0,1,1
344,909,667,939,119,1011,0,0,1
345,1327,1263,916,234,1728,0,1,1
346,472,1073,944,376,838,0,0,1
347,296,1076,398,238,1340,1,0,0
348,58,180,441,369,700,0,1,0
349,932,1392,723,294,1804,0,1,1
350,471,1250,839,330,330,1,1,0
351,1427,1373,489,410,1552,1,1,0
352,231,1297,832,261,252,1,0,1
353,1709,118,266,217,1731,0,0,0
354,493,785,155,379,544,1,1,0
355,486,154,434,241,940,0,1,0
356,504,378,861,368,751,1,1,0
357,1623,453,811,347,1747,0,0,1
358,481,1223,629,405,1319,1,1,1
359,851,167,117,304,168,0,1,0
360,641,777,500,240,101,0,1,0
361,1955,343,981,386,1847,0,0,1
362,1569,589,848,141,443,0,0,1
363,1074,737,985,226,1498,1,0,0
364,1778,400,690,482,113,0,1,1
365,871,1051,873,456,403,1,1,1
366,1989,5,252,85,610,0,1,0
367,1122,1270,197,442,1828,0,1,1
368,1851,1016,765,224,1673,1,1,0
369,1887,494,548,473,1099,1,0,1
370,568,1384,490,385,98,1,1,0
371,1062,10,16,478,601,0,0,1
372,79,849,413,472,296,1,1,0
373,1933,1049,659,500,1749,1,1,1
374,1551,423,209,78,1978,1,0,0
375,1220,1022,332,216,1504,1,0,0
376,246,1474,736,128,1825,0,0,1
377,498,504,622,421,626,0,1,1
378,1945,1161,269,132,1134,0,1,0
379,514,383,465,438,114,1,1,0
380,1135,241,821,193,1142,0,0,1
381,1085,290,832,8,716,1,0,0
382,69,965,657,466,768,0,0,1
383,1625,412,931,218,1982,0,1,0
384,1949,21,573,244,717,0,0,1
385,583,1116,939,338,1936,1,0,1
386,1269,855,784,230,157,1,1,0
387,1858,1154,567,485,552,1,0,1
388,324,1122,84,136,266,0,1,0
389,1781,853,335,448,1508,0,1,0
390,1513,1481,187,426,619,1,0,1
391,243,93,66,320,1866,0,0,0
